,index,smiles,ligand,docking_score_min
721,53457,FC1=CC=C(Cl)N=C1NC(=O)CC1=CC2=C(O1)C=CC1=C2C=CC=C1,m_11____7290784____7763722_S0_T0,-11.9
722,79356,CC1=C(C=CC2=CC=CC=C12)C(=O)NC1=C2C=CNC2=NC=N1,s_11____18795696____15068060_S0_T2,-11.8
723,66412,O=C(NC1=CC=C(C=C1)N1C=NC2=CC=CC=C12)C1=CNC2=C1C(=O)N=CN2,m_22____138661____14928102_S0_T0,-11.8
724,80028,OC1=CC(=CC2=CC=CC=C12)C(=O)NC1=NC=CC2=CC=CC=C12,m_527____10803844____9475802_S0_T0,-11.8
725,51686,O=C(NN=C1NC2=NNC=C2C(=O)N1)C1=CC2=C(O1)C=CC1=C2C=CC=C1,s_22____21212366____12211500_S0_T3,-11.9
726,69016,ClC1=CC=C(CC2=NOC(=N2)[C@@H]2C[C@H]2C2=CC=CC3=CC=CC=C23)C=N1,m_270196____12623064____16232332_S0_T0,-11.8
727,58406,ClC1=CC=C2NC(=O)C=C(C3=NC(=NO3)C3=CNC4=NC=NN4C3=O)C2=C1,m_270196____12053566____10903750_S0_T4,-11.8
728,59092,CC1=CC=CC2=NC(CN3N=C4C=C(C)C5=CC=CC=C5N4C3=O)=CC(=O)N12,s_7____10477974____93300_S0_T0,-11.8
729,82396,C[C@@H](NC(=O)C1=CC(=CN1C)C(=O)C1=CC=CC2=CC=CC=C12)C1=CC=CC2=CC=CN=C12,m_11____13765436____10965086_S1_T0,-11.7
730,80882,CC1=C(C2=CC=CC=C2C=C1)S(=O)(=O)[N-]C1=NNC(=C1)C1=CC2=CC=CC=C2C=C1,m_232682____9140086____12425132_S0_T1,-11.8
731,100251,FCCCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,
732,63328,CN1C=C2C(C=C(F)C=C2C(=O)NNC2=[NH+]NC3=C4C=CC=C(C)C4=NC3=N2)=N1,m_22____21212362____20853324_S0_T3,-11.8
733,13995,C[C@H](NC1=NC2=CC(Br)=CC=C2C(N)=N1)C1=CC=C(F)C2=CC=CC=C12,s_27____10229076____19565918_S0_T0,-12.2
734,48118,CN1C2=C(C=CC=C2)C2=C1C=CC(=C2)S(=O)(=O)[N-]C1=C(C(C)=NN1)C1=CC=CC=C1,m_232682____7867008____3005676_S0_T1,-11.9
735,54233,CC1=NNC2=NC(C)=CC(C(=O)NC3=NC=CC4=CC=CC=C34)=C12,s_11____15479198____2520002_S0_T2,-11.8
